strain	date	country	continent
PQ065408.1	2023-12-25	Brazil	South America
PQ065411.1	2023-12-25	Brazil	South America
PQ065414.1	2023-12-25	Brazil	South America
PQ065417.1	2023-12-27	Brazil	South America
PQ065420.1	2023-12-26	Brazil	South America
PQ065423.1	2023-12-26	Brazil	South America
PQ065426.1	2023-12-26	Brazil	South America
PQ065429.1	2023-12-26	Brazil	South America
PQ065432.1	2023-12-24	Brazil	South America
PQ065435.1	2023-12-27	Brazil	South America
PQ065438.1	2023-12-27	Brazil	South America
PQ065441.1	2023-12-27	Brazil	South America
PQ065444.1	2023-12-27	Brazil	South America
PQ065447.1	2023-12-27	Brazil	South America
PQ065450.1	2023-12-27	Brazil	South America
PQ065453.1	2023-12-28	Brazil	South America
PQ065456.1	2023-12-26	Brazil	South America
PQ065459.1	2023-12-28	Brazil	South America
PQ065462.1	2023-12-28	Brazil	South America
PQ065465.1	2023-12-14	Brazil	South America
PQ065468.1	2023-12-28	Brazil	South America
PQ065471.1	2023-12-29	Brazil	South America
PQ065474.1	2023-12-29	Brazil	South America
PQ065477.1	2023-12-29	Brazil	South America
PQ065480.1	2023-12-21	Brazil	South America
PQ065483.1	2023-12-13	Brazil	South America
PQ065486.1	2023-12-04	Brazil	South America
PQ065489.1	2023-12-12	Brazil	South America
PQ073181.1	2024-05-23	Brazil	South America
PQ073184.1	2024-05-20	Brazil	South America
PQ146445.1	2024	Colombia	South America
PQ146446.1	2024	Colombia	South America
PQ146447.1	2024	Colombia	South America
PQ146448.1	2024	Colombia	South America
PQ146449.1	2024	Colombia	South America
PQ146450.1	2024	Colombia	South America
PQ146451.1	2024	Colombia	South America
PQ146452.1	2024	Colombia	South America
PQ146453.1	2024	Colombia	South America
PQ146454.1	2024	Colombia	South America
PQ146455.1	2024	Colombia	South America
PQ146456.1	2024	Colombia	South America
PQ146457.1	2024	Colombia	South America
PQ146458.1	2024	Colombia	South America
PQ146459.1	2024	Colombia	South America
PQ146460.1	2024	Colombia	South America
PQ146461.1	2024	Colombia	South America
PQ146462.1	2024	Colombia	South America
PQ146463.1	2024	Colombia	South America
PQ146464.1	2024	Colombia	South America
PQ146465.1	2024	Colombia	South America
PQ146466.1	2024	Colombia	South America
PQ146467.1	2024	Colombia	South America
PQ146468.1	2024	Colombia	South America
PQ146469.1	2024	Colombia	South America
PQ146470.1	2024	Colombia	South America
PQ146471.1	2024	Colombia	South America
PQ146472.1	2024	Colombia	South America
PQ146473.1	2024	Colombia	South America
PQ146474.1	2024	Colombia	South America
PQ146475.1	2024	Colombia	South America
PQ146476.1	2024	Colombia	South America
PQ146477.1	2024	Colombia	South America
PQ146478.1	2024	Colombia	South America
PQ146479.1	2024	Colombia	South America
PQ149809.1	2024-03-27	Brazil	South America
PQ149812.1	2024-05-10	Brazil	South America
PQ156613.1	2024-03-21	Brazil	South America
PQ156614.1	2024-03-20	Brazil	South America
PQ156615.1	2024-04-15	Brazil	South America
PQ156616.1	2024-05-07	Brazil	South America
