strain	date	country	continent
PQ065200.1	2024-01-24	Brazil	South America
PQ065203.1	2024-01-24	Brazil	South America
PQ065206.1	2024-01-23	Brazil	South America
PQ065209.1	2024-01-23	Brazil	South America
PQ065212.1	2024-01-31	Brazil	South America
PQ065215.1	2024-01-31	Brazil	South America
PQ065218.1	2024-02-07	Brazil	South America
PQ065221.1	2023-12-29	Brazil	South America
PQ065224.1	2023-12-25	Brazil	South America
PQ065227.1	2023-12-27	Brazil	South America
PQ065230.1	2023-12-28	Brazil	South America
PQ065233.1	2023-12-13	Brazil	South America
PQ065236.1	2023-12-13	Brazil	South America
PQ065239.1	2023-12-13	Brazil	South America
PQ065242.1	2023-12-13	Brazil	South America
PQ065245.1	2023-12-13	Brazil	South America
PQ065248.1	2023-12-14	Brazil	South America
PQ065251.1	2023-12-15	Brazil	South America
PQ065254.1	2023-12-15	Brazil	South America
PQ065257.1	2023-12-15	Brazil	South America
PQ065260.1	2023-12-15	Brazil	South America
PQ065263.1	2023-12-15	Brazil	South America
PQ065266.1	2023-12-17	Brazil	South America
PQ065269.1	2023-12-17	Brazil	South America
PQ065272.1	2023-12-18	Brazil	South America
PQ065275.1	2023-12-18	Brazil	South America
PQ065278.1	2023-12-18	Brazil	South America
PQ065281.1	2023-12-18	Brazil	South America
PQ065284.1	2023-12-18	Brazil	South America
PQ065287.1	2023-12-19	Brazil	South America
PQ065290.1	2023-12-19	Brazil	South America
PQ065293.1	2023-12-20	Brazil	South America
PQ065296.1	2023-12-23	Brazil	South America
PQ065299.1	2023-12-23	Brazil	South America
PQ065302.1	2023-12-22	Brazil	South America
PQ065305.1	2023-12-22	Brazil	South America
PQ065308.1	2023-12-22	Brazil	South America
PQ065311.1	2023-12-22	Brazil	South America
PQ065314.1	2023-12-23	Brazil	South America
PQ065317.1	2023-12-22	Brazil	South America
PQ065320.1	2023-12-23	Brazil	South America
PQ065323.1	2023-12-22	Brazil	South America
PQ065326.1	2023-12-24	Brazil	South America
PQ065329.1	2023-12-22	Brazil	South America
PQ065332.1	2023-12-22	Brazil	South America
PQ065335.1	2023-12-24	Brazil	South America
PQ065338.1	2023-12-22	Brazil	South America
PQ065341.1	2023-12-22	Brazil	South America
PQ065344.1	2023-12-22	Brazil	South America
PQ065347.1	2023-12-25	Brazil	South America
PQ065350.1	2023-12-24	Brazil	South America
PQ065353.1	2023-12-23	Brazil	South America
PQ065356.1	2023-12-24	Brazil	South America
PQ065359.1	2023-12-24	Brazil	South America
PQ065362.1	2023-12-24	Brazil	South America
PQ065365.1	2023-12-24	Brazil	South America
PQ065368.1	2023-12-24	Brazil	South America
PQ065371.1	2023-12-22	Brazil	South America
PQ065374.1	2023-12-24	Brazil	South America
PQ065377.1	2023-12-24	Brazil	South America
PQ065380.1	2023-12-22	Brazil	South America
PQ065383.1	2023-12-22	Brazil	South America
PQ065386.1	2023-12-22	Brazil	South America
PQ065389.1	2023-12-25	Brazil	South America
PQ065392.1	2023-12-25	Brazil	South America
PQ065395.1	2023-12-25	Brazil	South America
PQ065398.1	2023-12-25	Brazil	South America
PQ065401.1	2023-12-25	Brazil	South America
PQ065404.1	2023-12-25	Brazil	South America
PQ065407.1	2023-12-25	Brazil	South America
PQ065410.1	2023-12-25	Brazil	South America
PQ065413.1	2023-12-25	Brazil	South America
PQ065416.1	2023-12-25	Brazil	South America
PQ065419.1	2023-12-27	Brazil	South America
PQ065422.1	2023-12-26	Brazil	South America
PQ065425.1	2023-12-26	Brazil	South America
PQ065428.1	2023-12-26	Brazil	South America
PQ065431.1	2023-12-26	Brazil	South America
PQ065434.1	2023-12-24	Brazil	South America
PQ065437.1	2023-12-27	Brazil	South America
PQ065440.1	2023-12-27	Brazil	South America
PQ065443.1	2023-12-27	Brazil	South America
PQ065446.1	2023-12-27	Brazil	South America
PQ065449.1	2023-12-27	Brazil	South America
PQ065452.1	2023-12-27	Brazil	South America
PQ065455.1	2023-12-28	Brazil	South America
PQ065458.1	2023-12-26	Brazil	South America
PQ065461.1	2023-12-28	Brazil	South America
PQ065464.1	2023-12-28	Brazil	South America
PQ065467.1	2023-12-14	Brazil	South America
PQ065470.1	2023-12-28	Brazil	South America
PQ065473.1	2023-12-29	Brazil	South America
PQ065476.1	2023-12-29	Brazil	South America
PQ065479.1	2023-12-29	Brazil	South America
PQ065482.1	2023-12-21	Brazil	South America
PQ065485.1	2023-12-13	Brazil	South America
PQ065488.1	2023-12-04	Brazil	South America
PQ065491.1	2023-12-12	Brazil	South America
PQ073183.1	2024-05-23	Brazil	South America
PQ073186.1	2024-05-20	Brazil	South America
PQ118421.1	2024-06-14	Italy	Europe
PQ149811.1	2024-03-27	Brazil	South America
PQ149814.1	2024-05-10	Brazil	South America
PQ156583.1	2024-03-21	Brazil	South America
PQ156584.1	2024-03-20	Brazil	South America
PQ156585.1	2024-04-15	Brazil	South America
PQ156586.1	2024-05-07	Brazil	South America
PQ156587.1	2024-05-15	Brazil	South America
PQ156588.1	2024-05-10	Brazil	South America
PQ156589.1	2024-05-03	Brazil	South America
PQ156590.1	2024-05-03	Brazil	South America
PQ156591.1	2024-05-14	Brazil	South America
PQ156592.1	2024-05-14	Brazil	South America
PQ156593.1	2024-05-14	Brazil	South America
PQ156594.1	2024-04-08	Brazil	South America
PQ156595.1	2024-04-01	Brazil	South America
PQ156596.1	2024-04-02	Brazil	South America
PQ156597.1	2024-05-07	Brazil	South America
PQ185970.1	2024-04-22	Brazil	South America
PQ185971.1	2024-04-25	Brazil	South America
PQ189413.1	2024-04-17	Brazil	South America
PQ189414.1	2024-04-25	Brazil	South America
PQ189415.1	2024-05-09	Brazil	South America
PQ189416.1	2024-05-16	Brazil	South America
PQ189417.1	2024-05-17	Brazil	South America
PQ189418.1	2024-05-27	Brazil	South America
PQ189419.1	2024-06-04	Brazil	South America
PQ189420.1	2024-06-06	Brazil	South America
PQ189421.1	2024-06-10	Brazil	South America
PQ189422.1	2024-06-12	Brazil	South America
PQ189423.1	2024-06-26	Brazil	South America
PQ197204.1	2024-06-07	Brazil	South America
PQ197396.1	2024-01-22	Brazil	South America
PQ197399.1	2024-04-12	Brazil	South America
PQ197402.1	2024-04-15	Brazil	South America
PQ197405.1	2024-04-22	Brazil	South America
PQ197408.1	2024-03-24	Brazil	South America
PQ197411.1	2024-04-17	Brazil	South America
PQ197414.1	2024-04-17	Brazil	South America
PQ199993.1	2024-04-17	Brazil	South America
PQ200002.1	2024-04-18	Brazil	South America
PQ200005.1	2024-04-23	Brazil	South America
PQ200023.1	2024-04-30	Brazil	South America
PQ200026.1	2024-04-30	Brazil	South America
PQ200029.1	2024-04-30	Brazil	South America
PQ200038.1	2024-05-02	Brazil	South America
PQ200053.1	2024-05-08	Brazil	South America
PQ200065.1	2024-05-10	Brazil	South America
PQ200110.1	2024-05-20	Brazil	South America
PQ200125.1	2024-05-27	Brazil	South America
PQ200161.1	2024-06-14	Brazil	South America
PQ200167.1	2024-06-17	Brazil	South America
PQ200206.1	2024-07-04	Brazil	South America
PQ247716.1	2024-03-01	Brazil	South America
PQ247717.1	2024-03-01	Brazil	South America
PQ247718.1	2024-02-02	Brazil	South America
PQ247719.1	2024-02-26	Brazil	South America
PQ247720.1	2024-02-29	Brazil	South America
PQ247721.1	2024-04-11	Brazil	South America
PQ247722.1	2024-04-15	Brazil	South America
PQ247723.1	2024-02-27	Brazil	South America
PQ247724.1	2024-04-17	Brazil	South America
PQ247725.1	2024-04-12	Brazil	South America
PQ247726.1	2024-04-18	Brazil	South America
PQ247727.1	2024-04-16	Brazil	South America
PQ247728.1	2024-04-03	Brazil	South America
PQ247729.1	2024-04-12	Brazil	South America
PQ247730.1	2024-04-19	Brazil	South America
PQ247731.1	2024-04-12	Brazil	South America
PQ247732.1	2024-04-05	Brazil	South America
PQ247733.1	2024-04-16	Brazil	South America
PQ247734.1	2024-04-15	Brazil	South America
PQ247735.1	2024-04-05	Brazil	South America
PQ247736.1	2024-04-03	Brazil	South America
PQ247737.1	2024-04-15	Brazil	South America
PQ247738.1	2024-04-03	Brazil	South America
