strain	date	country	continent
PQ065133.1	2024-01-31	Brazil	South America
PQ065136.1	2024-02-01	Brazil	South America
PQ065139.1	2024-02-04	Brazil	South America
PQ065142.1	2024-02-04	Brazil	South America
PQ065145.1	2024-02-25	Brazil	South America
PQ065148.1	2024-02-22	Brazil	South America
PQ065151.1	2023-12-28	Brazil	South America
PQ065154.1	2024-01-29	Brazil	South America
PQ065157.1	2023-12-28	Brazil	South America
PQ065160.1	2024-01-30	Brazil	South America
PQ065163.1	2024-01-30	Brazil	South America
PQ065166.1	2024-01-30	Brazil	South America
PQ065169.1	2024-01-31	Brazil	South America
PQ065172.1	2024-02-02	Brazil	South America
PQ065175.1	2024-02-02	Brazil	South America
PQ065178.1	2024-02-02	Brazil	South America
PQ065181.1	2024-02-02	Brazil	South America
PQ065184.1	2024-01-30	Brazil	South America
PQ065187.1	2024-01-29	Brazil	South America
PQ065190.1	2024-01-31	Brazil	South America
PQ065193.1	2024-01-25	Brazil	South America
PQ065196.1	2024-01-25	Brazil	South America
PQ065199.1	2024-01-24	Brazil	South America
PQ065202.1	2024-01-24	Brazil	South America
PQ065205.1	2024-01-23	Brazil	South America
PQ065208.1	2024-01-23	Brazil	South America
PQ065211.1	2024-01-31	Brazil	South America
PQ065214.1	2024-01-31	Brazil	South America
PQ065217.1	2024-02-07	Brazil	South America
PQ065220.1	2023-12-29	Brazil	South America
PQ065223.1	2023-12-25	Brazil	South America
PQ065226.1	2023-12-27	Brazil	South America
PQ065229.1	2023-12-28	Brazil	South America
PQ065232.1	2023-12-13	Brazil	South America
PQ065235.1	2023-12-13	Brazil	South America
PQ065238.1	2023-12-13	Brazil	South America
PQ065241.1	2023-12-13	Brazil	South America
PQ065244.1	2023-12-13	Brazil	South America
PQ065247.1	2023-12-14	Brazil	South America
PQ065250.1	2023-12-15	Brazil	South America
PQ065253.1	2023-12-15	Brazil	South America
PQ065256.1	2023-12-15	Brazil	South America
PQ065259.1	2023-12-15	Brazil	South America
PQ065262.1	2023-12-15	Brazil	South America
PQ065265.1	2023-12-17	Brazil	South America
PQ065268.1	2023-12-17	Brazil	South America
PQ065271.1	2023-12-18	Brazil	South America
PQ065274.1	2023-12-18	Brazil	South America
PQ065277.1	2023-12-18	Brazil	South America
PQ065280.1	2023-12-18	Brazil	South America
PQ065283.1	2023-12-18	Brazil	South America
PQ065286.1	2023-12-19	Brazil	South America
PQ065289.1	2023-12-19	Brazil	South America
PQ065292.1	2023-12-20	Brazil	South America
PQ065295.1	2023-12-23	Brazil	South America
PQ065298.1	2023-12-23	Brazil	South America
PQ065301.1	2023-12-22	Brazil	South America
PQ065304.1	2023-12-22	Brazil	South America
PQ065307.1	2023-12-22	Brazil	South America
PQ065310.1	2023-12-22	Brazil	South America
PQ065313.1	2023-12-23	Brazil	South America
PQ065316.1	2023-12-22	Brazil	South America
PQ065319.1	2023-12-23	Brazil	South America
PQ065322.1	2023-12-22	Brazil	South America
PQ065325.1	2023-12-24	Brazil	South America
PQ065328.1	2023-12-22	Brazil	South America
PQ065331.1	2023-12-22	Brazil	South America
